species,genus,family,species:wikidata,leaf_cycle,leaf_type
Syagrus sancona,Syagrus,Arecaceae,,evergreen,palm
Sycopsis sinensis,Sycopsis,Hamamelidaceae,,evergreen,broadleaved
Symplocos nakaharae,Symplocos,Symplocaceae,,evergreen,broadleaved
Synechanthus warscewiczianus,Synechanthus,Arecaceae,,evergreen,palm
Syringa pekinensis,Syringa,Oleaceae,Q17713034,deciduous,broadleaved
Syringa reticulata,Syringa,Oleaceae,Q1683340,deciduous,broadleaved
Syringa villosa,Syringa,Oleaceae,,deciduous,broadleaved
Syringa vulgaris,Syringa,Oleaceae,Q6565319,deciduous,broadleaved
Syringa × prestoniae,Syringa,Oleaceae,,deciduous,broadleaved
Syzygium australe,Syzygium,Myrtaceae,,evergreen,broadleaved
Syzygium borbonicum,Syzygium,Myrtaceae,,evergreen,broadleaved
Syzygium cumini,Syzygium,Myrtaceae,,evergreen,broadleaved
Syzygium floribundum,Syzygium,Myrtaceae,,evergreen,broadleaved
Syzygium jambos,Syzygium,Myrtaceae,,evergreen,broadleaved
Syzygium malaccense,Syzygium,Myrtaceae,,deciduous,broadleaved
Syzygium myrtifolium,Syzygium,Myrtaceae,,evergreen,broadleaved
Syzygium paniculatum,Syzygium,Myrtaceae,,evergreen,broadleaved
Syzygium smithii,Syzygium,Myrtaceae,,deciduous,broadleaved
Tabebuia aurea,Tabebuia,Bignoniaceae,,deciduous,broadleaved
Tabebuia avellanedae,Tabebuia,Bignoniaceae,,deciduous,broadleaved
Tabebuia chrysantha,Tabebuia,Bignoniaceae,,evergreen,broadleaved
Tabebuia heterophylla,Tabebuia,Bignoniaceae,,deciduous,broadleaved
Tabebuia impetiginosa,Tabebuia,Bignoniaceae,,deciduous,broadleaved
Tabebuia pentaphylla,Tabebuia,Bignoniaceae,,deciduous,broadleaved
Tabebuia rosea,Tabebuia,Bignoniaceae,,deciduous,broadleaved
Tabebuia roseoalba,Tabebuia,Bignoniaceae,,deciduous,broadleaved
Tabernaemontana divaricata,Tabernaemontana,Apocynaceae,,deciduous,broadleaved
Taiwania cryptomerioides,Taiwania,Cupressaceae,Q390313,evergreen,needleleaved
Tamarindus indica,Tamarindus,Fabaceae,,deciduous,broadleaved
Tamarix africana,Tamarix,Tamaricaceae,,evergreen,broadleaved
Tamarix aphylla,Tamarix,Tamaricaceae,,evergreen,broadleaved
Tamarix gallica,Tamarix,Tamaricaceae,,deciduous,broadleaved
Tamarix parviflora,Tamarix,Tamaricaceae,,deciduous,broadleaved
Tamarix pentandra,Tamarix,Tamaricaceae,,deciduous,broadleaved
Tamarix ramosissima,Tamarix,Tamaricaceae,,deciduous,broadleaved
Tamarix tetrandra,Tamarix,Tamaricaceae,,deciduous,broadleaved
Taxodium ascendens,Taxodium,Cupressaceae,Q148950,deciduous,needleleaved
Taxodium distichum,Taxodium,Cupressaceae,Q148950,deciduous,needleleaved
Taxodium mucronatum,Taxodium,Cupressaceae,Q148950,deciduous,needleleaved
Taxus baccata,Taxus,Taxaceae,Q179729,evergreen,needleleaved
Taxus brevifolia,Taxus,Taxaceae,Q20655540,evergreen,needleleaved
Taxus canadensis,Taxus,Taxaceae,Q1723511,evergreen,needleleaved
Taxus cuspidata,Taxus,Taxaceae,Q1144815,evergreen,needleleaved
Taxus × media,Taxus,Taxaceae,,evergreen,needleleaved
Tecoma stans,Tecoma,Bignoniaceae,,evergreen,broadleaved
Tectona grandis,Tectona,Lamiaceae,,evergreen,broadleaved
Terminalia arjuna,Terminalia,Combretaceae,,deciduous,broadleaved
Terminalia boivinii,Terminalia,Combretaceae,Q15573081,contribute,broadleaved
Terminalia buceras,Terminalia,Combretaceae,,deciduous,broadleaved
Terminalia catappa,Terminalia,Combretaceae,,deciduous,broadleaved
Terminalia chebula,Terminalia,Combretaceae,,deciduous,broadleaved
Terminalia ivorensis,Terminalia,Combretaceae,,deciduous,broadleaved
Terminalia mantaly,Terminalia,Combretaceae,,evergreen,broadleaved
Terminalia muelleri,Terminalia,Combretaceae,,deciduous,broadleaved
Terminalia tetraphylla,Terminalia,Combretaceae,,evergreen,broadleaved
Ternstroemia gymnanthera,Ternstroemia,Pentaphylacaceae,,evergreen,broadleaved
Tetraclinis articulata,Tetraclinis,Cupressaceae,,deciduous,needleleaved
Tetradium daniellii,Tetradium,Rutaceae,Q837237,evergreen,broadleaved
Theobroma cacao,Theobroma,Malvaceae,,evergreen,broadleaved
Thevetia peruviana,Thevetia,Apocynaceae,,evergreen,broadleaved
Thrinax parviflora,Thrinax,Arecaceae,,deciduous,palm
Thuja koraiensis,Thuja,Cupressaceae,,evergreen,needleleaved
Thuja occidentalis,Thuja,Cupressaceae,Q147468,evergreen,needleleaved
Thuja orientalis,Thuja,Cupressaceae,Q33482,evergreen,needleleaved
Thuja plicata,Thuja,Cupressaceae,Q147417,evergreen,needleleaved
Thuja standishii,Thuja,Cupressaceae,,evergreen,needleleaved
Thujopsis dolabrata,Thujopsis,Cupressaceae,,evergreen,needleleaved
Tibouchina urvilleana,Tibouchina,Melastomataceae,,evergreen,broadleaved
Tilia americana,Tilia,Malvaceae,Q163981,deciduous,broadleaved
Tilia argentea,Tilia,Malvaceae,Q161382,deciduous,broadleaved
Tilia cordata,Tilia,Malvaceae,Q158746,deciduous,broadleaved
Tilia dasystyla,Tilia,Malvaceae,Q1353171,deciduous,broadleaved
Tilia euchlora,Tilia,Malvaceae,Q159657,deciduous,broadleaved
Tilia europaea,Tilia,Malvaceae,Q163760,deciduous,broadleaved
Tilia flavescens,Tilia,Malvaceae,Q156831,deciduous,broadleaved
Tilia henryana,Tilia,Malvaceae,Q142912,deciduous,broadleaved
Tilia intermedia,Tilia,Malvaceae,,deciduous,broadleaved
Tilia japonica,Tilia,Malvaceae,,deciduous,broadleaved
Tilia kiusiana,Tilia,Malvaceae,,deciduous,broadleaved
Tilia mandshurica,Tilia,Malvaceae,,deciduous,broadleaved
Tilia maximowicziana,Tilia,Malvaceae,,deciduous,broadleaved
Tilia miqueliana,Tilia,Malvaceae,,deciduous,broadleaved
Tilia mongolica,Tilia,Malvaceae,Q1944479,deciduous,broadleaved
Tilia oliveri,Tilia,Malvaceae,,deciduous,broadleaved
Tilia platyphyllos,Tilia,Malvaceae,Q156831,deciduous,broadleaved
Tilia tomentosa,Tilia,Malvaceae,Q161382,deciduous,broadleaved
Tilia × euchlora,Tilia,Malvaceae,Q159657,deciduous,broadleaved
Tilia × europaea,Tilia,Malvaceae,Q163760,deciduous,broadleaved
Tilia × flaccida,Tilia,Malvaceae,,deciduous,broadleaved
Tilia × flavescens,Tilia,Malvaceae,,deciduous,broadleaved
Tilia × intermedia,Tilia,Malvaceae,Q163760,deciduous,broadleaved
Tilia × moltkei,Tilia,Malvaceae,,deciduous,broadleaved
Tilia × viridis,Tilia,Malvaceae,,deciduous,broadleaved
Tilia × vulgaris,Tilia,Malvaceae,Q163760,deciduous,broadleaved
Tipuana tipu,Tipuana,Fabaceae,Q2716902,deciduous,broadleaved
Toona calantas,Toona,Meliaceae,,evergreen,broadleaved
Toona sinensis,Toona,Meliaceae,,deciduous,broadleaved
Torminalis glaberrima,Torminalis,Rosaceae,Q41297526,deciduous,broadleaved
Torreya californica,Torreya,Taxaceae,,evergreen,needleleaved
Torreya nucifera,Torreya,Taxaceae,,evergreen,needleleaved
Toxicodendron vernicifluum,Toxicodendron,Anacardiaceae,,deciduous,broadleaved
Trachycarpus fortunei,Trachycarpus,Arecaceae,Q158383,evergreen,palm
Trachycarpus martianus,Trachycarpus,Arecaceae,Q145672,evergreen,palm
Trema micranthum,Trema,Cannabaceae,,deciduous,broadleaved
Triadica sebifera,Triadica,Euphorbiaceae,,deciduous,broadleaved
Trichilia emetica,Trichilia,Meliaceae,,deciduous,broadleaved
Triplaris americana,Triplaris,Polygonaceae,,evergreen,broadleaved
Tristaniopsis laurina,Tristaniopsis,Myrtaceae,,evergreen,broadleaved
Tsuga canadensis,Tsuga,Pinaceae,Q1137143,evergreen,needleleaved
Tsuga caroliniana,Tsuga,Pinaceae,,evergreen,needleleaved
Tsuga heterophylla,Tsuga,Pinaceae,Q1144409,evergreen,needleleaved
Tsuga mertensiana,Tsuga,Pinaceae,,evergreen,needleleaved
Ulmus americana,Ulmus,Ulmaceae,Q469382,deciduous,broadleaved
Ulmus campestris,Ulmus,Ulmaceae,Q147498,deciduous,broadleaved
Ulmus carpinifolia,Ulmus,Ulmaceae,Q3547946,deciduous,broadleaved
Ulmus crassifolia,Ulmus,Ulmaceae,Q7879431,deciduous,broadleaved
Ulmus davidiana,Ulmus,Ulmaceae,Q2109921,deciduous,broadleaved
Ulmus glabra,Ulmus,Ulmaceae,Q147498,deciduous,broadleaved
Ulmus hollandica,Ulmus,Ulmaceae,Q504004,deciduous,broadleaved
Ulmus japonica,Ulmus,Ulmaceae,Q1074099,deciduous,broadleaved
Ulmus laevis,Ulmus,Ulmaceae,Q147492,deciduous,broadleaved
Ulmus latifolia,Ulmus,Ulmaceae,Q147498,deciduous,broadleaved
Ulmus minor,Ulmus,Ulmaceae,Q147487,deciduous,broadleaved
Ulmus nigra,Ulmus,Ulmaceae,Q147498,deciduous,broadleaved
Ulmus parvifolia,Ulmus,Ulmaceae,Q1074099,deciduous,broadleaved
Ulmus procera,Ulmus,Ulmaceae,Q147487,deciduous,broadleaved
Ulmus propinqua,Ulmus,Ulmaceae,Q2109921,deciduous,broadleaved
Ulmus pumila,Ulmus,Ulmaceae,Q1079824,deciduous,broadleaved
Ulmus rubra,Ulmus,Ulmaceae,,deciduous,broadleaved
Ulmus thomasii,Ulmus,Ulmaceae,,deciduous,broadleaved
Ulmus × hollandica,Ulmus,Ulmaceae,Q504004,deciduous,broadleaved
Umbellularia californica,Umbellularia,Lauraceae,Q692162,evergreen,broadleaved
Vachellia caven,Vachellia,Fabaceae,,evergreen,broadleaved
Vachellia farnesiana,Vachellia,Fabaceae,,evergreen,broadleaved
Vachellia nilotica,Vachellia,Fabaceae,,deciduous,broadleaved
Vachellia sieberiana,Vachellia,Fabaceae,,deciduous,broadleaved
Vachellia tortilis,Vachellia,Fabaceae,,deciduous,broadleaved
Veitchia merrillii,Veitchia,Arecaceae,,evergreen,palm
Viburnum lantana,Viburnum,Viburnaceae,,deciduous,broadleaved
Viburnum opulus,Viburnum,Viburnaceae,Q156928,deciduous,broadleaved
Viburnum rhytidophyllum,Viburnum,Viburnaceae,,deciduous,broadleaved
Viburnum rugosum,Viburnum,Viburnaceae,Q130341059,evergreen,broadleaved
Viburnum tinus,Viburnum,Viburnaceae,Q1321268,evergreen,broadleaved
Viburnum trilobum,Viburnum,Viburnaceae,,deciduous,broadleaved
Virgilia oroboides,Virgilia,Fabaceae,,deciduous,broadleaved
Vitellaria paradoxa,Vitellaria,Sapotaceae,,deciduous,broadleaved
Vitex agnus-castus,Vitex,Lamiaceae,,deciduous,broadleaved
Vitex lucens,Vitex,Lamiaceae,,evergreen,broadleaved
Vitis vinifera,Vitis,Vitaceae,,deciduous,broadleaved
Washingtonia filifera,Washingtonia,Arecaceae,Q158389,evergreen,palm
Washingtonia robusta,Washingtonia,Arecaceae,Q158389,evergreen,palm
Waterhousea floribunda,Waterhousea,Myrtaceae,,evergreen,broadleaved
Weinmannia trichosperma,Weinmannia,Cunoniaceae,,evergreen,broadleaved
Wisteria floribunda,Wisteria,Fabaceae,,deciduous,broadleaved
Wisteria sinensis,Wisteria,Fabaceae,,deciduous,broadleaved
Wodyetia bifurcata,Wodyetia,Arecaceae,,evergreen,palm
Wollemia nobilis,Wollemia,Araucariaceae,Q190510,evergreen,needleleaved
Xanthocyparis nootkatensis,Xanthocyparis,Cupressaceae,Q23707222,evergreen,needleleaved
Yucca aloifolia,Yucca,Asparagaceae,,evergreen,broadleaved
Yucca elephantipes,Yucca,Asparagaceae,,evergreen,broadleaved
Yucca filifera,Yucca,Asparagaceae,,evergreen,broadleaved
Yucca gigantea,Yucca,Asparagaceae,,evergreen,broadleaved
Yucca gloriosa,Yucca,Asparagaceae,,evergreen,broadleaved
Yucca guatemalensis,Yucca,Asparagaceae,,evergreen,broadleaved
Zanthoxylum piperitum,Zanthoxylum,Rutaceae,,deciduous,broadleaved
Zanthoxylum simulans,Zanthoxylum,Rutaceae,,deciduous,broadleaved
Zelkova carpinifolia,Zelkova,Ulmaceae,Q1737093,deciduous,broadleaved
Zelkova serrata,Zelkova,Ulmaceae,Q920344,deciduous,broadleaved
Zelkova sinica,Zelkova,Ulmaceae,Q10935845,deciduous,broadleaved
Ziziphus joazeiro,Ziziphus,Rhamnaceae,,evergreen,broadleaved
Ziziphus jujuba,Ziziphus,Rhamnaceae,Q11181633,deciduous,broadleaved
Ziziphus mauritiana,Ziziphus,Rhamnaceae,,deciduous,broadleaved
Zygia longifolia,Zygia,Fabaceae,,evergreen,broadleaved
× Arsorbus thuringiaca,Arsorbus,Rosaceae,,deciduous,broadleaved
× Chitalpa tashkentensis,Chitalpa,Bignoniaceae,,deciduous,broadleaved
× Cupressocyparis leylandii,Cupressocyparis,Cupressaceae,Q42688380,evergreen,needleleaved
× Hesperotropsis leylandii,× Hesperotropsis,Cupressaceae,Q42688380,evergreen,needleleaved
